股票代码大全,,
深证A股
序号,代码,名称
1,000001,深发展Ａ
2,000002,万 科Ａ
3,000004,国农科技
4,000005,世纪星源
5,000006,深振业Ａ
6,000007,零七股份
7,000008,ST宝利来
8,000009,中国宝安
9,000010,S ST华新
10,000011,深物业A
11,000012,南 玻Ａ
12,000014,沙河股份
13,000016,深康佳Ａ
14,000017,*ST中华A
15,000018,ST中冠A
16,000019,深深宝Ａ
17,000020,深华发Ａ
18,000021,长城开发
19,000022,深赤湾Ａ
20,000023,深天地Ａ
21,000024,招商地产
22,000025,特 力Ａ
23,000026,飞亚达Ａ
24,000027,深圳能源
25,000028,国药一致
26,000029,深深房Ａ
27,000030,*ST盛润A
28,000031,中粮地产
29,000032,深桑达Ａ
30,000033,新都酒店
31,000034,深信泰丰
32,000035,*ST科健
33,000036,华联控股
34,000037,深南电Ａ
35,000039,中集集团
36,000040,宝安地产
37,000042,深 长 城
38,000043,中航地产
39,000045,深纺织Ａ
40,000046,泛海建设
41,000048,ST康达尔
42,000049,德赛电池
43,000050,深天马Ａ
44,000055,方大集团
45,000056,*ST国商
46,000058,深 赛 格
47,000059,辽通化工
48,000060,中金岭南
49,000061,农 产 品
50,000062,深圳华强
51,000063,中兴通讯
52,000065,北方国际
53,000066,长城电脑
54,000068,ST三星
55,000069,华侨城Ａ
56,000070,特发信息
57,000078,海王生物
58,000088,盐 田 港
59,000089,深圳机场
60,000090,深 天 健
61,000096,广聚能源
62,000099,中信海直
63,000100,TCL 集团
64,000150,宜华地产
65,000151,中成股份
66,000153,丰原药业
67,000155,*ST川化
68,000157,中联重科
69,000158,常山股份
70,000159,国际实业
71,000301,东方市场
72,000338,潍柴动力
73,000400,许继电气
74,000401,冀东水泥
75,000402,金 融 街
76,000404,华意压缩
77,000407,胜利股份
78,000408,ST金谷源
79,000409,*ST泰复
80,000410,沈阳机床
81,000411,英特集团
82,000413,宝 石Ａ
83,000415,渤海租赁
84,000416,民生投资
85,000417,合肥百货
86,000418,小天鹅Ａ
87,000419,通程控股
88,000420,*ST吉纤
89,000421,南京中北
90,000422,湖北宜化
91,000423,东阿阿胶
92,000425,徐工机械
93,000426,兴业矿业
94,000428,华天酒店
95,000429,粤高速Ａ
96,000430,张家界
97,000488,晨鸣纸业
98,000501,鄂武商Ａ
99,000502,绿景控股
100,000503,海虹控股
101,000504,ST传媒
102,000505,ST珠江
103,000506,中润资源
104,000507,珠海港
105,000509,SST华塑
106,000510,金路集团
107,000511,银基发展
108,000513,丽珠集团
109,000514,渝 开 发
110,000516,开元投资
111,000517,荣安地产
112,000518,四环生物
113,000519,江南红箭
114,000520,长航凤凰
115,000521,美菱电器
116,000522,白云山Ａ
117,000523,广州浪奇
118,000524,东方宾馆
119,000525,红 太 阳
120,000526,银润投资
121,000527,美的电器
122,000528,柳 工
123,000529,广弘控股
124,000530,大冷股份
125,000531,穗恒运Ａ
126,000532,力合股份
127,000533,万 家 乐
128,000534,万泽股份
129,000536,华映科技
130,000537,广宇发展
131,000538,云南白药
132,000539,粤电力Ａ
133,000540,中天城投
134,000541,佛山照明
135,000543,皖能电力
136,000544,中原环保
137,000546,光华控股
138,000547,闽福发Ａ
139,000548,湖南投资
140,000550,江铃汽车
141,000551,创元科技
142,000552,靖远煤电
143,000553,沙隆达Ａ
144,000554,泰山石油
145,000555,ST 太 光
146,000557,*ST广夏
147,000558,莱茵置业
148,000559,万向钱潮
149,000560,昆百大Ａ
150,000561,烽火电子
151,000562,宏源证券
152,000563,陕国投Ａ
153,000564,西安民生
154,000565,渝三峡Ａ
155,000566,海南海药
156,000567,海德股份
157,000568,泸州老窖
158,000570,苏常柴Ａ
159,000571,新大洲Ａ
160,000572,海马汽车
161,000573,粤宏远Ａ
162,000576,*ST甘化
163,000581,威孚高科
164,000582,北 海 港
165,000584,友利控股
166,000585,*ST东电
167,000586,汇源通信
168,000587,ST金叶
169,000589,黔轮胎Ａ
170,000590,紫光古汉
171,000591,桐 君 阁
172,000592,中福实业
173,000593,大通燃气
174,000594,国恒铁路
175,000595,*ST西轴
176,000596,古井贡酒
177,000597,东北制药
178,000598,兴蓉投资
179,000599,青岛双星
180,000600,建投能源
181,000601,韶能股份
182,000602,金马集团
183,000603,盛达矿业
184,000605,*ST四环
185,000606,青海明胶
186,000607,*ST华控
187,000608,阳光股份
188,000609,绵世股份
189,000610,西安旅游
190,000611,时代科技
191,000612,焦作万方
192,000613,ST东海Ａ
193,000615,湖北金环
194,000616,亿城股份
195,000617,石油济柴
196,000619,海螺型材
197,000620,新华联
198,000623,吉林敖东
199,000625,长安汽车
200,000626,如意集团
201,000627,天茂集团
202,000628,高新发展
203,000629,攀钢钒钛
204,000630,铜陵有色
205,000631,顺发恒业
206,000632,三木集团
207,000633,ST合金
208,000635,英 力 特
209,000636,风华高科
210,000637,茂化实华
211,000638,万方地产
212,000639,西王食品
213,000650,仁和药业
214,000651,格力电器
215,000652,泰达股份
216,000655,金岭矿业
217,000656,金科股份
218,000659,珠海中富
219,000661,长春高新
220,000662,*ST索芙
221,000663,永安林业
222,000665,武汉塑料
223,000666,经纬纺机
224,000667,名流置业
225,000668,荣丰控股
226,000669,*ST领先
227,000671,阳 光 城
228,000673,ST当代
229,000676,ST思达
230,000677,*ST海龙
231,000678,襄阳轴承
232,000679,大连友谊
233,000680,山推股份
234,000682,东方电子
235,000683,远兴能源
236,000685,中山公用
237,000686,东北证券
238,000687,保定天鹅
239,000690,宝新能源
240,000691,*ST亚太
241,000692,惠天热电
242,000695,滨海能源
243,000697,*ST炼石
244,000698,沈阳化工
245,000700,模塑科技
246,000701,厦门信达
247,000702,正虹科技
248,000703,恒逸石化
249,000705,浙江震元
250,000707,双环科技
251,000708,大冶特钢
252,000709,河北钢铁
253,000710,天兴仪表
254,000711,天伦置业
255,000712,锦龙股份
256,000713,丰乐种业
257,000715,中兴商业
258,000716,南方食品
259,000717,韶钢松山
260,000718,苏宁环球
261,000719,大地传媒
262,000720,*ST能山
263,000721,西安饮食
264,000723,美锦能源
265,000725,京东方Ａ
266,000726,鲁 泰Ａ
267,000727,华东科技
268,000728,国元证券
269,000729,燕京啤酒
270,000731,四川美丰
271,000732,泰禾集团
272,000733,振华科技
273,000735,罗 牛 山
274,000736,重庆实业
275,000737,*ST南风
276,000738,中航动控
277,000739,普洛股份
278,000748,长城信息
279,000750,国海证券
280,000751,*ST锌业
281,000752,西藏发展
282,000753,漳州发展
283,000755,山西三维
284,000756,新华制药
285,000758,中色股份
286,000759,中百集团
287,000760,博盈投资
288,000761,本钢板材
289,000762,西藏矿业
290,000766,通化金马
291,000767,*ST漳电
292,000768,西飞国际
293,000776,广发证券
294,000777,中核科技
295,000778,新兴铸管
296,000779,三毛派神
297,000780,平庄能源
298,000782,美达股份
299,000783,长江证券
300,000785,武汉中商
301,000786,北新建材
302,000788,西南合成
303,000789,江西水泥
304,000790,华神集团
305,000791,西北化工
306,000792,盐湖股份
307,000793,华闻传媒
308,000795,太原刚玉
309,000796,易食股份
310,000797,中国武夷
311,000798,中水渔业
312,000799,酒 鬼 酒
313,000800,一汽轿车
314,000801,四川九洲
315,000802,北京旅游
316,000803,金宇车城
317,000806,*ST银河
318,000807,云铝股份
319,000809,铁岭新城
320,000810,华润锦华
321,000811,烟台冰轮
322,000812,陕西金叶
323,000813,天山纺织
324,000815,*ST美利
325,000816,江淮动力
326,000818,方大化工
327,000819,岳阳兴长
328,000821,京山轻机
329,000822,山东海化
330,000823,超声电子
331,000825,太钢不锈
332,000826,桑德环境
333,000828,东莞控股
334,000829,天音控股
335,000830,鲁西化工
336,000833,贵糖股份
337,000835,四川圣达
338,000836,鑫茂科技
339,000837,秦川发展
340,000838,*ST国兴
341,000839,中信国安
342,000848,承德露露
343,000850,华茂股份
